TimeStep,ship1_x,ship1_y,ship1_z,ship2_x,ship2_y,ship2_z,ship3_x,ship3_y,ship3_z,ship4_x,ship4_y,ship4_z
0,19.747533227473177,15.207485118761602,0.0,6.049436867779919,12.968013768046813,0.0,29.50262041744828,17.71715363466226,0.0,29.1484299657649,25.975400007825918,0.0
1,19.748506258757317,15.206343536473684,0.0,6.048269090563808,12.968955201195545,0.0,29.503595240418807,17.718293687369872,0.0,29.146998157777748,25.974952877097913,0.0
2,19.749479290041457,15.205201954185766,0.0,6.047101313347698,12.969896634344277,0.0,29.504570063389334,17.719433740077484,0.0,29.145566349790595,25.974505746369907,0.0
3,19.750452321325596,15.204060371897848,0.0,6.045933536131587,12.970838067493009,0.0,29.50554488635986,17.720573792785096,0.0,29.144134541803442,25.9740586156419,0.0
4,19.751425352609736,15.20291878960993,0.0,6.044765758915476,12.971779500641741,0.0,29.506519709330387,17.721713845492708,0.0,29.14270273381629,25.973611484913896,0.0
5,19.752398383893876,15.201777207322012,0.0,6.0435979816993655,12.972720933790473,0.0,29.507494532300914,17.72285389820032,0.0,29.141270925829136,25.97316435418589,0.0
6,19.753371415178016,15.200635625034094,0.0,6.042430204483255,12.973662366939205,0.0,29.50846935527144,17.723993950907932,0.0,29.139839117841984,25.972717223457884,0.0
7,19.754344446462156,15.199494042746176,0.0,6.041262427267144,12.974603800087937,0.0,29.509444178241967,17.725134003615544,0.0,29.13840730985483,25.97227009272988,0.0
8,19.755317477746296,15.198352460458258,0.0,6.040094650051033,12.97554523323667,0.0,29.510419001212494,17.726274056323156,0.0,29.136975501867678,25.971822962001873,0.0
9,19.756290509030435,15.19721087817034,0.0,6.038926872834923,12.976486666385401,0.0,29.51139382418302,17.727414109030768,0.0,29.135543693880525,25.971375831273868,0.0
10,19.757263540314575,15.196069295882422,0.0,6.037759095618812,12.977428099534134,0.0,29.512368647153547,17.72855416173838,0.0,29.134111885893372,25.970928700545862,0.0
11,19.758236571598715,15.194927713594504,0.0,6.036591318402701,12.978369532682866,0.0,29.513343470124074,17.729694214445992,0.0,29.13268007790622,25.970481569817856,0.0
12,19.759209602882855,15.193786131306586,0.0,6.03542354118659,12.979310965831598,0.0,29.5143182930946,17.730834267153604,0.0,29.131248269919066,25.97003443908985,0.0
13,19.760182634166995,15.192644549018668,0.0,6.03425576397048,12.98025239898033,0.0,29.515293116065127,17.731974319861216,0.0,29.129816461931913,25.969587308361845,0.0
14,19.761155665451135,15.19150296673075,0.0,6.033087986754369,12.981193832129062,0.0,29.516267939035654,17.733114372568828,0.0,29.12838465394476,25.96914017763384,0.0
15,19.762128696735275,15.190361384442832,0.0,6.031920209538258,12.982135265277794,0.0,29.51724276200618,17.73425442527644,0.0,29.126952845957607,25.968693046905834,0.0
16,19.763101728019414,15.189219802154915,0.0,6.0307524323221475,12.983076698426526,0.0,29.518217584976707,17.73539447798405,0.0,29.125521037970454,25.96824591617783,0.0
17,19.764074759303554,15.188078219866997,0.0,6.029584655106037,12.984018131575258,0.0,29.519192407947234,17.736534530691664,0.0,29.1240892299833,25.967798785449823,0.0
18,19.765047790587694,15.186936637579079,0.0,6.028416877889926,12.98495956472399,0.0,29.52016723091776,17.737674583399276,0.0,29.12265742199615,25.967351654721817,0.0
19,19.766020821871834,15.18579505529116,0.0,6.027249100673815,12.985900997872722,0.0,29.521142053888287,17.738814636106888,0.0,29.121225614008996,25.96690452399381,0.0
20,19.766993853155974,15.184653473003243,0.0,6.026081323457705,12.986842431021454,0.0,29.522116876858814,17.7399546888145,0.0,29.119793806021843,25.966457393265806,0.0
21,19.767966884440114,15.183511890715325,0.0,6.024913546241594,12.987783864170186,0.0,29.52309169982934,17.74109474152211,0.0,29.11836199803469,25.9660102625378,0.0
22,19.768939915724253,15.182370308427407,0.0,6.023745769025483,12.988725297318918,0.0,29.524066522799867,17.742234794229724,0.0,29.116930190047537,25.965563131809795,0.0
23,19.769912947008393,15.181228726139489,0.0,6.0225779918093725,12.98966673046765,0.0,29.525041345770394,17.743374846937336,0.0,29.115498382060384,25.96511600108179,0.0
24,19.770885978292533,15.180087143851571,0.0,6.021410214593262,12.990608163616383,0.0,29.52601616874092,17.744514899644948,0.0,29.11406657407323,25.964668870353783,0.0
25,19.771859009576673,15.178945561563653,0.0,6.020242437377151,12.991549596765115,0.0,29.526990991711447,17.74565495235256,0.0,29.112634766086078,25.964221739625778,0.0
26,19.772832040860813,15.177803979275735,0.0,6.01907466016104,12.992491029913847,0.0,29.527965814681973,17.74679500506017,0.0,29.111202958098925,25.963774608897772,0.0
27,19.773805072144953,15.176662396987817,0.0,6.01790688294493,12.993432463062579,0.0,29.5289406376525,17.747935057767783,0.0,29.109771150111772,25.963327478169766,0.0
28,19.774778103429092,15.1755208146999,0.0,6.016739105728819,12.994373896211311,0.0,29.529915460623027,17.749075110475395,0.0,29.10833934212462,25.96288034744176,0.0
