TimeStep,MissileID,Target1_x,Target1_y,Target1_z,Target1_MajorAxis,Target1_MinorAxis,Target1_AngleRad,Target1_Scatter,Target1_Confidence,Target2_x,Target2_y,Target2_z,Target2_MajorAxis,Target2_MinorAxis,Target2_AngleRad,Target2_Scatter,Target2_Confidence,Target3_x,Target3_y,Target3_z,Target3_MajorAxis,Target3_MinorAxis,Target3_AngleRad,Target3_Scatter,Target3_Confidence,Target4_x,Target4_y,Target4_z,Target4_MajorAxis,Target4_MinorAxis,Target4_AngleRad,Target4_Scatter,Target4_Confidence,Target5_x,Target5_y,Target5_z,Target5_MajorAxis,Target5_MinorAxis,Target5_AngleRad,Target5_Scatter,Target5_Confidence,Target6_x,Target6_y,Target6_z,Target6_MajorAxis,Target6_MinorAxis,Target6_AngleRad,Target6_Scatter,Target6_Confidence,Target7_x,Target7_y,Target7_z,Target7_MajorAxis,Target7_MinorAxis,Target7_AngleRad,Target7_Scatter,Target7_Confidence,Target8_x,Target8_y,Target8_z,Target8_MajorAxis,Target8_MinorAxis,Target8_AngleRad,Target8_Scatter,Target8_Confidence,Target9_x,Target9_y,Target9_z,Target9_MajorAxis,Target9_MinorAxis,Target9_AngleRad,Target9_Scatter,Target9_Confidence,Target10_x,Target10_y,Target10_z,Target10_MajorAxis,Target10_MinorAxis,Target10_AngleRad,Target10_Scatter,Target10_Confidence,Target11_x,Target11_y,Target11_z,Target11_MajorAxis,Target11_MinorAxis,Target11_AngleRad,Target11_Scatter,Target11_Confidence,Target12_x,Target12_y,Target12_z,Target12_MajorAxis,Target12_MinorAxis,Target12_AngleRad,Target12_Scatter,Target12_Confidence,Target13_x,Target13_y,Target13_z,Target13_MajorAxis,Target13_MinorAxis,Target13_AngleRad,Target13_Scatter,Target13_Confidence,Target14_x,Target14_y,Target14_z,Target14_MajorAxis,Target14_MinorAxis,Target14_AngleRad,Target14_Scatter,Target14_Confidence,Target15_x,Target15_y,Target15_z,Target15_MajorAxis,Target15_MinorAxis,Target15_AngleRad,Target15_Scatter,Target15_Confidence,Target16_x,Target16_y,Target16_z,Target16_MajorAxis,Target16_MinorAxis,Target16_AngleRad,Target16_Scatter,Target16_Confidence,Target17_x,Target17_y,Target17_z,Target17_MajorAxis,Target17_MinorAxis,Target17_AngleRad,Target17_Scatter,Target17_Confidence,Target18_x,Target18_y,Target18_z,Target18_MajorAxis,Target18_MinorAxis,Target18_AngleRad,Target18_Scatter,Target18_Confidence,Target19_x,Target19_y,Target19_z,Target19_MajorAxis,Target19_MinorAxis,Target19_AngleRad,Target19_Scatter,Target19_Confidence,Target20_x,Target20_y,Target20_z,Target20_MajorAxis,Target20_MinorAxis,Target20_AngleRad,Target20_Scatter,Target20_Confidence
0,0,20.38600172692632,24.320859739335038,-0.12051842172062699,0.44351949980622435,0.20926077127533116,-0.6996886703431482,0.4,0.8627084192071434,22.367023730841208,16.957411511234987,-0.08897673434568887,0.39220530986714647,0.20926077127533121,-2.4895900448208574,0.4,0.751476174069522,32.68618529456577,27.906686163717463,0.019762695641793115,0.5996261068372789,0.20926077127533133,-2.4344451708112103,0.4,0.8672993675182041,32.190665824850186,15.656649634147888,0.09785665385703801,0.49889253515869314,0.20926077127533124,-2.6866315173198068,0.4,0.7197171553735249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,22.306669410805608,17.06543304584396,-0.05925550520901801,0.3918557223117454,0.20908202562619876,-2.4897858195024845,0.4,0.8244699377001352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,20.518901149462543,24.307187969951862,0.04426602644369382,0.44272128872545774,0.20890327328578243,-0.6997122649574846,0.4,0.7462815381790073,22.345245859436186,17.066020740813656,-0.003986531743867872,0.3915061519101711,0.20890327328578243,-2.48998193090031,0.4,0.8525414966558844,,,,,,,,,32.05317627391606,15.729819167710929,-0.11299817295627257,0.49815788822743995,0.2089032732857824,-2.687239391512163,0.4,0.7562426635652145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,20.595184703154874,24.278428550321593,0.10562132531800827,0.4423221880166638,0.20872451424793131,-0.6997240790262381,0.4,0.9811654187458851,,,,,,,,,32.67936140597804,27.896189270722374,-0.026839794571705156,0.5985644418024799,0.20872451424793134,-2.4347215333473273,0.4,0.9012163480303487,32.10134423891879,15.697648088647945,-0.040352052977384645,0.4977906355571961,0.20872451424793143,-2.6875439852021907,0.4,0.8829696326455126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,20.30771271253759,24.45364424989686,0.0010035863468313977,0.44192309053307965,0.2085457485064835,-0.699735904296834,0.4,0.692998798055334,22.36940436910098,17.055161180744175,0.014298502871293195,0.39080706272655386,0.20854574850648344,-2.4903751673370094,0.4,0.8845948980180849,32.63611738291152,27.995083451553036,0.05922477747763821,0.5982105684138517,0.20854574850648336,-2.4348138556822794,0.4,0.643857884550451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,20.404166588796233,24.394921535895335,0.03940534177339039,0.441523996277825,0.20836697605526538,-0.6997477407899322,0.4,0.6012818337069882,22.394613351981366,17.121519734337248,0.12518233935247913,0.39045754402386745,0.20836697605526538,-2.490572294129576,0.4,0.7973080312577718,32.590986326066705,27.891067813586425,-0.23533385737221657,0.5978567025201373,0.20836697605526538,-2.434906279042823,0.4,0.8095345913797144,32.060389121532296,15.763704969302871,-0.051846296725596375,0.4970562722997691,0.20836697605526538,-2.688154490277205,0.4,0.8155239011830353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,20.41267169334556,24.368308287635582,0.010747716670140406,0.4411249052540256,0.2081881968880928,-0.6997595885262491,0.4,0.6987049855230519,,,,,,,,,32.648695337142804,27.909811162590792,-0.08044518367828601,0.5975028441314255,0.2081881968880927,-2.4349988035980012,0.4,0.8077115532739558,31.994538616819757,15.899204303580067,-0.04670612180285438,0.49668916191031615,0.2081881968880927,-2.6884604034720416,0.4,0.7887876407881614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,20.532211575064654,24.348314211157923,0.1452123723131713,0.440725817464813,0.20800941099876993,-0.6997714475265581,0.4,0.8616496751173585,22.27797043239247,17.123235750177084,-0.052532851249301515,0.3897585585961266,0.20800941099876993,-2.4909675692699094,0.4,0.9655696713956408,32.66189714584082,27.941474615915993,0.003054353424458256,0.5971489932578252,0.20800941099877002,-2.4350914295172323,0.4,1.0,32.088680006128044,15.561502954396127,-0.19333902389611346,0.4963220991459761,0.20800941099877002,-2.6887667583155386,0.4,0.8140040312630059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,20.403083744364775,24.24644927676018,-0.19237309299536243,0.44032673291332436,0.20783061838109,-0.6997833178116887,0.4,0.6650238773720767,22.317721770281977,17.105467869388438,-0.01642875979367986,0.3894090919512285,0.20783061838108996,-2.4911657193894476,0.4,0.8390330902833073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,20.498048527385784,24.294275150082473,0.016323498624661426,0.43992765160270303,0.20765181902883453,-0.6997951994025291,0.4,0.7599502896688709,22.35406583677037,17.063319625823752,-0.012827677980427055,0.38905964273930704,0.20765181902883453,-2.4913642123948136,0.4,0.7374038521931947,32.755555962457265,27.75195928054194,-0.15166422885149444,0.5964413140965008,0.2076518190288345,-2.4352769861274144,0.4,0.7424589977785189,32.09435632193766,15.705703117235931,-0.0255428507771871,0.4955881168910901,0.20765181902883456,-2.689380796593845,0.4,0.7760819415045052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
